e90bb7e6-0843-484a-9326-ae4fec4ef020,สตาฟดูแลทางเข้างาน,การจัดการกับการติดต่อและแนะนำ,จัดประชุมกับทีมงานเพื่อรับข้อมูลเกี่ยวกับการติดต่อและแนะนำตามทางเข้างาน เช่น วิธีการตอบคำถามหรือการช่วยเหลือผู้เข้าชมที่มีคำถามหรือข้อร้องเรียน,In Progress,d121822b-20d1-4487-9a1b-3878e0496322
e90bb7e6-0843-484a-9326-ae4fec4ef020,สตาฟดูแลความปลอดภัย,การจัดการกับสถานการณ์ฉุกเฉิน,จัดการประชุมเพื่อออกแบบแผนการจัดการกับสถานการณ์ฉุกเฉินที่อาจเกิดขึ้นในงาน รวมถึงการให้ความรู้และคำแนะนำให้กับสตาฟเกี่ยวกับขั้นตอนการปฏิบัติในกรณีฉุกเฉิน,In Progress,ac9f2469-6a17-4051-bfd9-9cc96077f28e
e90bb7e6-0843-484a-9326-ae4fec4ef020,สตาฟดูแลทางเข้างาน,การตรวจสอบการเชื่อมต่อและการไฟฟ้า,ตรวจสอบระบบการเชื่อมต่อและระบบไฟฟ้าที่เกี่ยวข้องกับทางเข้างาน เพื่อให้แน่ใจว่าทุกอุปกรณ์ที่ใช้งานที่ทางเข้าทำงานได้อย่างถูกต้อง,In Progress,2b63811d-26c8-43b7-8811-af02a54daff4
e90bb7e6-0843-484a-9326-ae4fec4ef020,สตาฟจัดเตรียมงาน,การตรวจสอบสถานที่งาน,ในวันก่อนงาน//comma// สตาฟสามารถทำการตรวจสอบสถานที่งานเพื่อตรวจสอบว่าทุกสิ่งพร้อมสำหรับงาน อาทิ การตรวจสอบการเชื่อมต่อไฟฟ้าและอุปกรณ์เทคนิคที่ใช้ในบูธ,In Progress,87efb63b-d1f2-483a-b3e1-fff5e1c3c645
e90bb7e6-0843-484a-9326-ae4fec4ef020,สตาฟดูแลความปลอดภัย,การตรวจสอบสภาพแวดล้อม,ก่อนเริ่มงาน//comma// สตาฟความปลอดภัยควรทำการตรวจสอบสภาพแวดล้อมรอบบูธเพื่อระบุปัจจัยความปลอดภัยเช่นพื้นผิวขาดซึม//comma// การเสี่ยงในการเกิดสิ่งไม่คาดคิด//comma// และอื่น ๆ ที่อาจเป็นอันตราย,In Progress,c3171fe7-6bad-4f47-b362-5c8a0569b892
e90bb7e6-0843-484a-9326-ae4fec4ef020,สตาฟดูแลทางเข้างาน,การตรวจสอบและจัดระเบียบการจราจร,ตรวจสอบแผนการจราจรและจัดระเบียบการจราจรรอบทางเข้างาน รวมถึงการเตรียมสัญญาณและบอกทางเพื่อช่วยผู้เข้าชมหาทางเข้างานได้อย่างรวดเร็วและปลอดภัย,In Progress,04add155-5ff3-47b5-a3e1-ee527c5cc90e
e90bb7e6-0843-484a-9326-ae4fec4ef020,สตาฟดูแลความปลอดภัย,การตรวจสอบและตรวจสอบอุปกรณ์ป้องกันการบาดเจ็บ,ก่อนเริ่มงาน//comma// สตาฟความปลอดภัยควรทำการตรวจสอบและตรวจสอบอุปกรณ์ป้องกันการบาดเจ็บเพื่อให้แน่ใจว่ามีอุปกรณ์ที่จำเป็นให้แก่พนักงานและผู้เข้าชมบูธ,In Progress,7325a0f1-457a-4cfd-9765-b43a746e584d
e90bb7e6-0843-484a-9326-ae4fec4ef020,สตาฟดูแลความปลอดภัย,การทำแผนการออกแบบบูธที่ปลอดภัย,ร่วมกับทีมงานที่จัดการบูธเพื่อออกแบบและจัดวางบูธที่ปลอดภัย รวมถึงการใช้ทางออกและเส้นทางในกรณีฉุกเฉิน และการจัดวางอุปกรณ์และวัสดุที่ป้องกันการบาดเจ็บ,In Progress,9dacc06c-16b5-4f22-b10e-ab25c89dba24
e90bb7e6-0843-484a-9326-ae4fec4ef020,สตาฟจัดเตรียมงาน,การประชุมกับผู้ร่วมงาน,จัดประชุมออนไลน์หรือหน้าหน้ากับผู้ร่วมงานที่มีส่วนได้ส่วนเสียในการจัดบูธ รวมถึงผู้ผลิตและผู้จัดจ้างบูธ ในการประชุมนี้//comma// สามารถพูดคุยเกี่ยวกับรายละเอียดที่เกี่ยวข้องกับการติดตั้งและการจัดวางบูธ,In Progress,05248428-9503-46ec-8083-86fa6c34ce01
e90bb7e6-0843-484a-9326-ae4fec4ef020,สตาฟดูแลทางเข้างาน,การสรุปความปลอดภัยของทางเข้า,จัดการประชุมเพื่อสรุปรายละเอียดที่เกี่ยวข้องกับการรักษาความปลอดภัยที่ทางเข้างาน รวมถึงการตรวจสอบการปฏิบัติตามมาตรฐานความปลอดภัยและการสรุปขั้นตอนการรับมือกับสถานการณ์ฉุกเฉินที่อาจเกิดขึ้น,In Progress,b5184c89-cb55-43a8-aa7c-b971f0e0ed12
e90bb7e6-0843-484a-9326-ae4fec4ef020,สตาฟจัดเตรียมงาน,การสรุปรายละเอียดการติดตั้ง,ในวันที่บูธต้องการติดตั้ง//comma// จัดประชุมสุดท้ายเพื่อสรุปรายละเอียดการติดตั้งอีกครั้ง แนะนำให้ทุกคนเข้าใจแผนการและรายละเอียดที่เกี่ยวข้องกับการติดตั้งอุปกรณ์และวัสดุต่าง ๆ ในบูธ,In Progress,04e0f78d-7f91-4973-836d-e89b312dcf3f
e90bb7e6-0843-484a-9326-ae4fec4ef020,สตาฟดูแลทางเข้างาน,การสรุปแผนการประชุมสถานที่,จัดประชุมกับทีมงานเพื่อสรุปแผนการที่เกี่ยวข้องกับการจัดตรงนที่งาน รวมถึงการจัดวางที่จอดรถและทางเข้าเพื่อให้มีความเรียบร้อยและปลอดภัย,In Progress,83b26666-dd6a-4845-bf55-2183d88c27fe
e90bb7e6-0843-484a-9326-ae4fec4ef020,สตาฟจัดเตรียมงาน,การสรุปแผนบูธ,จัดประชุมทางวิดีโอเพื่อสรุปแผนที่เกี่ยวข้องกับการเตรียมบูธ โดยรวมถึงการจัดวางแผนการจัดบูธและระยะเวลาการเตรียมบูธ. ในการประชุมนี้//comma// สตาฟสามารถรับข้อเสนอแนะและแก้ไขแผนตามความจำเป็น,In Progress,ab3481d7-89f9-48b4-8960-f3d08dc9b2ba
e90bb7e6-0843-484a-9326-ae4fec4ef020,สตาฟดูแลความปลอดภัย,การอบรมความปลอดภัย,จัดการอบรมความปลอดภัยเพื่อสอนพนักงานและบุคลากรในบูธเกี่ยวกับมาตรฐานความปลอดภัยของงาน รวมถึงการใช้อุปกรณ์ป้องกันการบาดเจ็บและการใช้เครื่องมือต่าง ๆ อย่างถูกต้อง,In Progress,cee7f2ef-6552-4a81-bf4d-df3fe858b79a
e90bb7e6-0843-484a-9326-ae4fec4ef020,สตาฟจัดเตรียมงาน,การอบรมและการประชุมกับทีมงานบูธ,จัดการอบรมหรือประชุมกับทีมงานบูธเพื่อแนะนำและอธิบายเกี่ยวกับการดำเนินการในวันงาน รวมถึงการจัดวางและการเตรียมงานเพื่อให้ทุกคนเข้าใจและรู้ว่าทำอะไรในวันงาน,In Progress,6ea69cb6-3c24-4f69-9a41-ff0ec59915fe
