a7c8d61e-4bdc-4122-b9f5-a401ab21f01b,เปิดงาน,เปิดงาน,08:00,08:30,2023-10-09
a696b071-b826-47d6-bf3f-9b721044f5de,เริ่มกิจกรรม,ลงทะเบียน และรับอุปกรณ์สำหรับทำเซรามิก,10:00,10:30,2023-10-09
a696b071-b826-47d6-bf3f-9b721044f5de,เตรียมความพร้อม,เรียนรู้การทำเซรามิก อธิบายอุปกรณ์ และวิธีการทำ,10:30,11:00,2023-10-09
a696b071-b826-47d6-bf3f-9b721044f5de,ลุยกันเลย,สร้างสรรค์ผลงาน ปั้นเซรามิก,11:00,15:00,2023-10-09
a696b071-b826-47d6-bf3f-9b721044f5de,เพ้นท์เพ้นท์,เพ้นท์สีลงเซรามิกของตนเอง,15:00,16:00,2023-10-09
a696b071-b826-47d6-bf3f-9b721044f5de,ทานอาหารว่าง,รับประทานอาหารว่างร่วมกัน เสร็จกิจกรรม,16:30,17:00,2023-10-09
a696b071-b826-47d6-bf3f-9b721044f5de,รับชิ้นงาน,เข้ามารับผลงานของตัวเองกลับบ้าน,10:00,17:30,2023-10-14
2255983a-080e-49fb-ae25-8fb5c528615d,Register,ลงทะเบียนเข้าร่วมงาน @ ทางเข้างาน,11:00,12:00,2023-11-04
2255983a-080e-49fb-ae25-8fb5c528615d,Artist Show,พูดคุยและแสดงผลงานของศิลปิน,12:30,14:00,2023-11-04
2255983a-080e-49fb-ae25-8fb5c528615d,Let's do it,เริ่มสร้างสรรค์ผลงานของตัวเอง,14:00,16:00,2023-11-04
2255983a-080e-49fb-ae25-8fb5c528615d,Talk Show,พูดคุยเรื่องงานศิลป์,16:00,17:00,2023-11-04
2255983a-080e-49fb-ae25-8fb5c528615d,Music and Art,ฟังเพลงและอิ่มอร่อยไปกับอาหารนานาชนิด,17:00,19:00,2023-11-04
